Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
75,2025,1,4,2,0,4,120,60,9315.97000000,493.94000000,0.00000000,8822.03000000,0.00000000,0.00000000,1069.54000000,8822.03000000,0.00000000,9315.97000000,0.00000000,0.00000000,9315.97000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
76,2025,1,4,3,0,4,180,60,9301.36000000,510.05000000,0.00000000,8791.31000000,0.00000000,0.00000000,1069.54000000,8791.31000000,0.00000000,9301.36000000,0.00000000,0.00000000,9301.36000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
77,2025,1,4,4,0,4,240,60,9351.38000000,526.43000000,0.00000000,8824.95000000,0.00000000,0.00000000,1069.54000000,8824.95000000,0.00000000,9351.38000000,0.00000000,0.00000000,9351.38000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
78,2025,1,4,5,0,4,300,60,9470.78000000,541.86000000,0.00000000,8928.92000000,0.00000000,0.00000000,1069.54000000,8928.92000000,0.00000000,9470.78000000,0.00000000,0.00000000,9470.78000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
79,2025,1,4,6,0,4,360,60,9646.92000000,555.11000000,0.00000000,9091.81000000,0.00000000,0.00000000,1069.54000000,9091.81000000,0.00000000,9646.92000000,0.00000000,0.00000000,9646.92000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
80,2025,1,4,7,0,4,420,60,9845.31000000,565.05000000,0.00000000,9280.27000000,0.00000000,0.00000000,1069.54000000,9280.27000000,0.00000000,9845.31000000,0.00000000,0.00000000,9845.31000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
81,2025,1,4,8,0,4,480,60,10012.27000000,570.73000000,285.85000000,9155.69000000,0.00000000,0.00000000,1069.54000000,9155.69000000,0.00000000,10012.27000000,0.00000000,0.00000000,10012.27000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
82,2025,1,4,9,0,4,540,60,10095.82000000,571.46000000,726.66000000,8797.70000000,0.00000000,0.00000000,1069.54000000,8797.70000000,0.00000000,10095.82000000,0.00000000,0.00000000,10095.82000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
83,2025,1,4,10,0,4,600,60,10077.42000000,566.84000000,1155.14000000,8355.44000000,0.00000000,0.00000000,1069.54000000,8355.44000000,0.00000000,10077.42000000,0.00000000,0.00000000,10077.42000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
84,2025,1,4,11,0,4,660,60,9985.25000000,556.80000000,1529.45000000,8541.37000000,0.00000000,642.36000000,1634.82000000,7899.00000000,0.00000000,9985.25000000,0.00000000,0.00000000,9985.25000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
85,2025,1,4,12,0,4,720,60,9873.08000000,541.61000000,1711.98000000,8307.48000000,0.00000000,688.00000000,2240.25000000,7619.49000000,0.00000000,9873.08000000,0.00000000,0.00000000,9873.08000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
86,2025,1,4,13,0,4,780,60,9785.63000000,521.87000000,1566.16000000,8349.14000000,0.00000000,651.54000000,2813.61000000,7697.60000000,0.00000000,9785.63000000,0.00000000,0.00000000,9785.63000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
87,2025,1,4,14,0,4,840,60,9744.34000000,498.49000000,1172.96000000,8626.13000000,0.00000000,553.24000000,3300.46000000,8072.88000000,0.00000000,9744.34000000,0.00000000,0.00000000,9744.34000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
